-7554, 1782, -6933, 8853, -9587, -5183, 9357, -4119, -5874, -1584, -1276, -8293, 8652, -7715, -6132
6164, 4017, -8078, -9073, 4825, -2645, 4547, 7479, 4445, -8059, 6793, 4267, -3572, 7044, 3492
-8356, 3958, 8806, 1183, 7838, 1148, -5354, -5501, -611, -129, -5782, 6009, -6766, 6038, -1084
6540, 3170, -1473, -2501, -8842, -4327, -4289, -771, 1823, 8117, 6281, 8522, 59, 1150, -1116
2521, -1236, 172, 2727, 586, -8458, -5829, 3986, -6841, -4149, -6802, -1134, -3729, 9726, 8575
1347, -2839, -5942, 8226, 4140, -375, -2121, 7224, -9581, -1265, 5125, 7736, -2568, 1402, -887
-6226, 7423, 775, 2640, 6372, 1494, 7083, -5277, 950, 472, -2715, 9572, 9783, 5814, -9419
1379, 540, -8424, 2768, -2216, 7176, 5572, -1273, -7743, 5028, -2516, 4906, 8959, -9348, -600
5176, 9086, -4133, -3253, 8673, -1614, -178, -9321, -4366, 4972, -6604, 1753, -275, 9070, -3829
5237, 6945, -9957, 3818, -3219, -8226, -4654, -4063, -6293, -2214, -5896, -9798, -1004, 3283, 4952
-6050, -3759, -3569, -8863, -5936, -4683, 3688, -4536, 7836, 1833, -2615, 5653, 5958, -8767, 5765
9266, -7005, -2146, 3655, -4962, -5114, 2180, -4825, -5379, -4437, 3032, -7836, 3165, 5780, -478
1979, 1795, 4804, 6151, 6372, -2793, 5406, 8619, 512, -767, -4778, 9188, -3572, -5401, 7671
-8455, -9853, 4534, 5225, -2064, 168, -809, 9783, 5311, -8448, 1750, 6172, 1264, 9091, -7766
1707, -229, -9496, 7999, 9901, 6331, -4747, 2825, -9695, -645, -1170, 7549, -5723, -2279, -9658
-5246, 1790, 5984, -2164, -4937, -603, -4266, 2985, -717, 7902, 2276, 9806, 3634, -2034, -6852
-5386, 8380, 6456, -9993, 4444, -7864, 9680, -5047, -5752, 8587, 6221, 9845, -176, 5821, 5812
-5462, -5426, 2754, 8455, -3628, -1495, 1219, 5010, 69, -985, 9542, -7324, -4861, -7475, 48
-3188, 119, 4764, -5316, 817, 8951, -2930, 7480, 872, -5278, 3870, 5043, 3189, 5201, -1172
-9571, -9371, -6586, -631, -8287, 8181, -4271, 3897, 5872, 8228, 4936, 6347, 7247, -857, 935
-6235, -5984, 6534, -48, 3924, 6796, 5577, -7104, 6148, -6907, -3247, -4208, -2411, 3855, -3634
-2929, 1280, -952, 6160, -1465, -8735, 4758, -7980, 3028, -9719, 3710, -1441, -7465, 6456, 1092
165, -2460, 6022, -9287, -9971, -4260, 173, -214, 3403, 5372, 4060, -6442, 1196, -6004, 3925
