-7554, 1782, -6933, 8853, -9587, -5183, 9357, -4119, -5874, -1584, -1276, -8293, 8652, -7715, -6132
6164, 4017, -8078, -9073, 4825, -2645, 4547, 7479, 4445, -8059, 6793, 4267, -3572, 7044, 3492
-8356, 3958, 8806, 1183, 7838, 1148, -5354, -5501, -611, -129, -5782, 6009, -6766, 6038, -1084
6540, 3170, -1473, -2501, -8842, -4327, -4289, -771, 1823, 8117, 6281, 8522, 59, 1150, -1116
2521, -1236, 172, 2727, 586, -8458, -5829, 3986, -6841, -4149, -6802, -1134, -3729, 9726, 8575
1347, -2839, -5942, 8226, 4140, -375, -2121, 7224, -9581, -1265, 5125, 7736, -2568, 1402, -887
-6226, 7423, 775, 2640, 6372, 1494, 7083, -5277, 950, 472, -2715, 9572, 9783, 5814, -9419
1379, 540, -8424, 2768, -2216, 7176, 5572, -1273, -7743, 5028, -2516, 4906, 8959, -9348, -600
5176, 9086, -4133, -3253, 8673, -1614, -178, -9321, -4366, 4972, -6604, 1753, -275, 9070, -3829
5237, 6945, -9957, 3818, -3219, -8226, -4654, -4063, -6293, -2214, -5896, -9798, -1004, 3283, 4952
